,model,scaler,f1 Score,feature_importance,cat_importance
0,random_forest,none,0.9910787114010032,"{'amount': np.float64(0.2275386408980701), 'has_zero_amount_transaction': np.float64(0.0005420360803322984), 'risk_level': np.float64(0.42673952863926407), 'gender_E': np.float64(4.3510599806475485e-05), 'gender_F': np.float64(0.00919003477861284), 'gender_M': np.float64(0.0037982025385080932), 'category_es_barsandrestaurants': np.float64(0.0035050064218921876), 'category_es_contents': np.float64(0.00015387913346591876), 'category_es_fashion': np.float64(0.0020806313635671246), 'category_es_food': np.float64(0.011736843320006901), 'category_es_health': np.float64(0.029021657351328774), 'category_es_home': np.float64(0.001467223136164026), 'category_es_hotelservices': np.float64(0.010294927566043626), 'category_es_hyper': np.float64(0.005190737052548787), 'category_es_leisure': np.float64(0.004540506443493262), 'category_es_otherservices': np.float64(0.0014782909618831126), 'category_es_sportsandtoys': np.float64(0.05605733433466913), 'category_es_tech': np.float64(0.0017801752536455635), 'category_es_transportation': np.float64(0.1890279218479239), 'category_es_travel': np.float64(0.005037133481180672), 'category_es_wellnessandbeauty': np.float64(0.01077577879759305)}",0.3321480464654061
1,gradient_boosting,none,0.983172819538915,"{'amount': np.float64(0.01869047147753104), 'has_zero_amount_transaction': np.float64(0.0003066309082584582), 'risk_level': np.float64(0.9729581049257088), 'gender_E': np.float64(0.0), 'gender_F': np.float64(0.001367724032727524), 'gender_M': np.float64(0.0001224488510167364), 'category_es_barsandrestaurants': np.float64(0.001990889096959517), 'category_es_contents': np.float64(0.0), 'category_es_fashion': np.float64(0.00038020362659182597), 'category_es_food': np.float64(0.0), 'category_es_health': np.float64(0.0006687652782420541), 'category_es_home': np.float64(0.0), 'category_es_hotelservices': np.float64(0.0001144463488524441), 'category_es_hyper': np.float64(0.0009730102484222561), 'category_es_leisure': np.float64(0.0), 'category_es_otherservices': np.float64(5.1456304807591104e-05), 'category_es_sportsandtoys': np.float64(0.0008905879751737799), 'category_es_tech': np.float64(0.0004615311502252267), 'category_es_transportation': np.float64(0.0), 'category_es_travel': np.float64(0.0), 'category_es_wellnessandbeauty': np.float64(0.0010237297754828786)}",0.006554619804757573
2,logistic_regression,none,0.9812465933866279,"{'amount': np.float64(0.01419874251453412), 'has_zero_amount_transaction': np.float64(-0.890534298508349), 'risk_level': np.float64(3.0754247275373667), 'gender_E': np.float64(-0.21032584710841581), 'gender_F': np.float64(2.213122910597052), 'gender_M': np.float64(1.4711820005672582), 'category_es_barsandrestaurants': np.float64(2.994916160249306), 'category_es_contents': np.float64(-0.09717528631719968), 'category_es_fashion': np.float64(3.9514862392033487), 'category_es_food': np.float64(-2.03481254302958), 'category_es_health': np.float64(4.389386844774318), 'category_es_home': np.float64(-0.18434262676347224), 'category_es_hotelservices': np.float64(0.704162737011362), 'category_es_hyper': np.float64(4.6530228557395), 'category_es_leisure': np.float64(0.20018243378647646), 'category_es_otherservices': np.float64(0.7964238123082035), 'category_es_sportsandtoys': np.float64(3.029139087569068), 'category_es_tech': np.float64(2.9115465464471795), 'category_es_transportation': np.float64(-8.624856635228824), 'category_es_travel': np.float64(-0.3853704331082667), 'category_es_wellnessandbeauty': np.float64(4.2725641260166665)}",16.57627331865809
3,neural_network,none,0.9848328211519125,,
4,random_forest,min_max_scaler,0.9910871616475109,"{'has_zero_amount_transaction': np.float64(0.0005080837208293087), 'risk_level': np.float64(0.3850095167861985), 'gender_E': np.float64(3.8592880003398736e-05), 'gender_F': np.float64(0.008203226636471592), 'gender_M': np.float64(0.003544861502658239), 'category_es_barsandrestaurants': np.float64(0.0033063614533690847), 'category_es_contents': np.float64(0.00011955583947480086), 'category_es_fashion': np.float64(0.0019845915868872566), 'category_es_food': np.float64(0.01187207575608875), 'category_es_health': np.float64(0.037357615715325025), 'category_es_home': np.float64(0.001861063114133575), 'category_es_hotelservices': np.float64(0.010570081759475462), 'category_es_hyper': np.float64(0.005632247017903771), 'category_es_leisure': np.float64(0.0039004103150965743), 'category_es_otherservices': np.float64(0.002043939110464318), 'category_es_sportsandtoys': np.float64(0.056146226539108966), 'category_es_tech': np.float64(0.001754449674120255), 'category_es_transportation': np.float64(0.21116580278213826), 'category_es_travel': np.float64(0.005863517380783719), 'category_es_wellnessandbeauty': np.float64(0.010986924562700413), 'amount': np.float64(0.23813085586676866)}",0.3645648626070702
5,gradient_boosting,min_max_scaler,0.983172819538915,"{'has_zero_amount_transaction': np.float64(0.00030663090843321316), 'risk_level': np.float64(0.9729581049256646), 'gender_E': np.float64(0.0), 'gender_F': np.float64(0.0013696893401737172), 'gender_M': np.float64(0.00012244885101654244), 'category_es_barsandrestaurants': np.float64(0.001990889095943321), 'category_es_contents': np.float64(0.0), 'category_es_fashion': np.float64(0.0003802036266832267), 'category_es_food': np.float64(0.0), 'category_es_health': np.float64(0.0006687652782505211), 'category_es_home': np.float64(0.0), 'category_es_hotelservices': np.float64(0.0001144463489187407), 'category_es_hyper': np.float64(0.0009730102483873604), 'category_es_leisure': np.float64(0.0), 'category_es_otherservices': np.float64(5.145630480731472e-05), 'category_es_sportsandtoys': np.float64(0.0008905879752132094), 'category_es_tech': np.float64(0.00046153115052523637), 'category_es_transportation': np.float64(0.0), 'category_es_travel': np.float64(0.0), 'category_es_wellnessandbeauty': np.float64(0.0010237297755742202), 'amount': np.float64(0.018688506170408715)}",0.006554619804303151
6,logistic_regression,min_max_scaler,0.9833466266171138,"{'has_zero_amount_transaction': np.float64(-1.0727083999108737), 'risk_level': np.float64(2.8866508036890863), 'gender_E': np.float64(4.478598425288232), 'gender_F': np.float64(8.584092301406312), 'gender_M': np.float64(7.612954077294418), 'category_es_barsandrestaurants': np.float64(6.167622882759519), 'category_es_contents': np.float64(-0.2773345183836439), 'category_es_fashion': np.float64(7.153786430989218), 'category_es_food': np.float64(-4.556953300424523), 'category_es_health': np.float64(7.558201732967178), 'category_es_home': np.float64(5.139404713125687), 'category_es_hotelservices': np.float64(5.238020051960106), 'category_es_hyper': np.float64(7.640809860231287), 'category_es_leisure': np.float64(5.519172796722844), 'category_es_otherservices': np.float64(5.655471798975277), 'category_es_sportsandtoys': np.float64(7.4585601699171935), 'category_es_tech': np.float64(6.822622634959856), 'category_es_transportation': np.float64(-11.249729769317327), 'category_es_travel': np.float64(2.25954055687505), 'category_es_wellnessandbeauty': np.float64(8.007756948870083), 'amount': np.float64(49.65285260030949)}",58.5369529902278
7,neural_network,min_max_scaler,0.9845656469575753,,
8,random_forest,standard_scaler,0.9910787621107439,"{'has_zero_amount_transaction': np.float64(0.0005806257968220495), 'risk_level': np.float64(0.38249254174993114), 'gender_E': np.float64(4.3348488722312185e-05), 'gender_F': np.float64(0.008685891436605005), 'gender_M': np.float64(0.003465712505651257), 'category_es_barsandrestaurants': np.float64(0.0030925763757063463), 'category_es_contents': np.float64(0.00011640368034706942), 'category_es_fashion': np.float64(0.001967505899621674), 'category_es_food': np.float64(0.007775010949745299), 'category_es_health': np.float64(0.04091732354631062), 'category_es_home': np.float64(0.003259361851358182), 'category_es_hotelservices': np.float64(0.007735078788628289), 'category_es_hyper': np.float64(0.0046642119609666905), 'category_es_leisure': np.float64(0.0034964216130058913), 'category_es_otherservices': np.float64(0.0022406206270774785), 'category_es_sportsandtoys': np.float64(0.05065316373868439), 'category_es_tech': np.float64(0.001911433092182671), 'category_es_transportation': np.float64(0.22031547216348282), 'category_es_travel': np.float64(0.003212835896191571), 'category_es_wellnessandbeauty': np.float64(0.012806985410323253), 'amount': np.float64(0.240567474428636)}",0.36416440559363233
9,gradient_boosting,standard_scaler,0.983172819538915,"{'has_zero_amount_transaction': np.float64(0.00030663090832976433), 'risk_level': np.float64(0.9729581049255307), 'gender_E': np.float64(0.0), 'gender_F': np.float64(0.0013696893399358224), 'gender_M': np.float64(0.00012244885101692367), 'category_es_barsandrestaurants': np.float64(0.0019908890962075806), 'category_es_contents': np.float64(0.0), 'category_es_fashion': np.float64(0.0003802036266294466), 'category_es_food': np.float64(0.0), 'category_es_health': np.float64(0.000668765278173438), 'category_es_home': np.float64(0.0), 'category_es_hotelservices': np.float64(0.00011444634889063404), 'category_es_hyper': np.float64(0.0009730102482262202), 'category_es_leisure': np.float64(0.0), 'category_es_otherservices': np.float64(5.145630480731155e-05), 'category_es_sportsandtoys': np.float64(0.0008905879752809883), 'category_es_tech': np.float64(0.00046153115017148836), 'category_es_transportation': np.float64(0.0), 'category_es_travel': np.float64(0.0), 'category_es_wellnessandbeauty': np.float64(0.0010237297753741027), 'amount': np.float64(0.01868850617142554)}",0.006554619803761211
